Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;ro_w;ro_a;x1;x2;x3;estado;GOR;u1;w_inj
10049902,7684601;5015398,178987415;1.00495e+07;1.49588e+07;0.200098;1.66884;1,8974088442237862;0,2147433659360386;1,6826654782877477;0.0166884;341,2425584734826;112,44583547459986;2397,7423404283068;666,1528740482885;5219,776823080464;1;0,01;0,1;0,2
10055997,4590506;6225732,374291248;1.00546e+07;1.49653e+07;0.400097;1.53105;1,9569568482744106;0,4132438533496457;1,543712994924765;0.0153105;259,0278892242953;112,5140274353777;2399,1964338675502;943,4601492814772;3524,388035863144;1;0,01;0,1;0,4
10066672,904193621;7013201,939833582;1.00635e+07;1.49751e+07;0.599906;1.29755;1,9005808919704652;0,6151276318235284;1,2854532601469366;0.0129755;205,94134023002297;112,63347230721642;2401,7434203819544;1149,6728973084264;2402,5107920556984;1;0,01;0,1;0,6000000000000001
10078387,95233832;7563704,668125392;1.00727e+07;1.49848e+07;0.799908;1.01421;1,8141221981827627;0,8125261301382228;1,00159606804454;0.0101421;169,0655114928608;112,7645490356789;2404,5384391601315;1306,103829174144;1610,0263255979196;1;0,01;0,1;0,8
10088936,5982754;7980438,750192378;1.00801e+07;1.49923e+07;0.999909;0.723516;1,7190070820975407;1,0101516810775062;0,7088554010200349;0.00723516;141,22393278691692;112,88257518308039;2407,055173458985;1431,426679647908;1004,4773988301085;1;0,01;0,1;1,0
10098000,431694366;8306942,330731045;1.00853e+07;1.49972e+07;1.19991;0.435669;1,6234359229098896;1,2087333126073758;0,4147026103025139;0.00435669;119,43660772053224;112,98398813650684;2409,217655789008;1533,856322032726;526,2486058267534;1;0,01;0,1;1,2
10105969,049242755;8589643,021545198;1.00886e+07;1.49994e+07;1.39992;0.204795;1,5236939512283332;1,4258869183796488;0,09780703284868424;0.00204795;100,69771483943771;113,07314699490078;2411,118837534807;1625,3946926237636;111,49203351566315;1;0,01;0,1;1,4000000000000001
10877152,866604216;9325938,491461357;10855735.634768447;15765298.160846293;1.614454099762656;0.0;1,6250749341277004;1,62411300803898;0,0009619260887200701;0.0;103,03157085107381;121,70172884743823;2595,110676435357;1776,0925484076713;1,0497439458944156;1;0,01;0,1;1,6
12041789,922262764;10324076,264563883;12017393.862224214;16927451.623962723;1.8129804365528899;0.0;1,8224656004979531;1,8216591413621916;0,0008064591357615103;0.0;114,0431065202041;134,7325600669396;2872,9740193870957;1966,2058453408877;0,8691596727345963;1;0,01;0,1;1,8
13209173,14380246;11324561,356707271;13181792.635163289;18092336.16533794;2.011625988927828;0.0;2,0200901584293476;2,0193982913319553;0,0006918670973929442;0.0;125,08329513639615;147,79411744608376;3151,4925525788576;2156,763796507272;0,7381421474458475;1;0,01;0,1;2,0
10002124,924129093;4419964,292751713;1.00018e+07;1.49137e+07;0.200098;2.41544;2,645183437844383;0,2234128099704598;2,421770627873923;0.0241544;377,9154501476075;111,9112611859972;2386,343328624295;550,5525829734738;5967,930284398525;1;0,01;0,2;0,2
9999909,508491635;5503321,158149746;9.99848e+06;1.49131e+07;0.400096;2.42311;2,852207109543618;0,42346866187954535;2,4287384476640725;0.0242311;303,51082121374475;111,88647345739756;2385,8147667070343;777,2599303598063;4457,853075396002;1;0,01;0,2;0,4
10012375,372837119;6231910,060470323;1.00092e+07;1.49256e+07;0.600094;2.24291;2,869797381980737;0,6216580819272685;2,2481393000534684;0.0224291;254,36541192783488;112,02595087957123;2388,7889179441;950,4084450009276;3437,0188990147653;1;0,01;0,2;0,6000000000000001
10028979,935155543;6777752,207204245;1.00233e+07;1.49409e+07;0.800093;1.99856;2,82277497137277;0,819198292512587;2,003576678860183;0.0199856;217,98213899589638;112,21173515287235;2392,7504947904063;1091,1527996779723;2668,7168692727605;1;0,01;0,2;0,8
