Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;wrh;wtg;wto;ro_w;ro_a;ro_r;Prh;Pm;x1;x2;x3;x4;x5;estado;GOR;u1;w_inj
11564158,545347331;10934039,776279569;1.10696e+07;1.43181e+07;0.799904;8.27363;9,323407595699125;1,0477744288020387;8,27563316689626;0.248209;9,323940154190463;1,0477743411504599;8,276165813031875;653,4856431089876;129,38846266977762;199,56673143876853;2004356,2300876586;2983231,0477948184;2759,018988982092;1266,7212496561917;10004,940088920272;128,93981783375193;1018,4705526597894;1;0,03;0,30000000000000004;0,8
12039374,842351612;11156236,85859833;1.12972e+07;1.43555e+07;0.999905;8.01119;9,25296994435896;1,2399181196161575;8,013051824741929;0.240336;9,253365556043386;1,2399180336710676;8,013447522362705;614,357356907176;134,70553834492452;167,42771752659894;2005114,13375149;2826347,088219458;2872,3978208415083;1419,988409461288;9176,76783291835;128,98857361821928;833,6383031817645;1;0,03;0,30000000000000004;1,0
12533400,217380865;11361361,734833332;1.15067e+07;1.43963e+07;1.1999;7.72609;9,159190890993248;1,431380955255063;7,727809935737268;0.231783;9,159496726223184;1,4313808714591982;7,728115854752892;579,6169344690693;140,23306406538543;143,61328000806068;2005841,8260674071;2710264,9645069446;2990,2641909193467;1562,3958286569446;8435,139481157976;129,03538591298252;696,6702095730107;1;0,03;0,30000000000000004;1,2
13043594,422005143;11551678,064698251;1.17008e+07;1.44388e+07;1.39991;7.4283;9,052358645772038;1,6224646237548142;7,429894022016266;0.222849;9,052600706543089;1,622464542864049;7,43013616366647;548,4478695429109;145,94149875525096;125,26448215758164;2006542,1241632574;2620964,4091461953;3111,988179146172;1695,5114193115733;7764,403595715684;129,0804359432879;591,1286131597276;1;0,03;0,30000000000000004;1,4000000000000001
13567607,767530508;11729101,060172837;1.18814e+07;1.44824e+07;1.59991;7.12349;8,938291268544795;1,813338652314197;7,124952616229601;0.213705;8,938485767888551;1,8133385750301863;7,125147192844322;520,256063766253;151,80455233844944;110,70339292203592;2007217,1706497753;2550217,3129323614;3237,009188250738;1820,5115892252318;7153,136450255917;129,12386154283672;507,3660993429462;1;0,03;0,30000000000000004;1,6
14103386,797759963;11895230,368502768;1.20504e+07;1.45264e+07;1.79991;6.81505;8,820489625216434;2,004105045973062;6,816384579242337;0.204451;8,820647292001517;2,0041049729332157;6,816542319052786;494,59092715038935;157,79924920984303;98,8773504438933;2007868,7200153125;2492862,1239426094;3364,837297187918;1938,3215062975596;6592,640865651539;129,16577557749832;439,33026826865347;1;0,03;0,30000000000000004;1,8
14649165,00113809;12051403,225651834;1.2209e+07;1.45707e+07;1.99991;6.50512;8,701156158382975;2,1948277572182007;6,506328401163703;0.195154;8,701284532096555;2,194827688943946;6,506456843135622;471,1002770500507;163,9058243157491;89,09142772475865;2008498,2758097008;2445491,728799642;3495,051045208402;2049,6925457053003;6076,090836703465;129,20627477031945;383,02553539403453;1;0,03;0,30000000000000004;2,0
9752910,129440159;9535477,935149327;9.71629e+06;1.3815e+07;0.199904;11.7948;12,359993874533428;0,5520203258762854;11,807973548656273;0.353845;12,373212839513165;0,5520195626549235;11,821193276853958;823,8850423640318;109,12285950217074;502,3435261949016;2003047,6434548993;4467042,639440891;2326,8847568496385;634,6807305685392;13576,11835487868;128,85563672885908;2759,3721122092174;1;0,03;0,4;0,2
10064784,308008231;9717770,019010061;9.92277e+06;1.37727e+07;0.399905;12.0914;12,857406473951148;0,7620970995909899;12,095309374359191;0.362741;12,859903101522862;0,7620968454901524;12,097806256026798;771,4736412107728;112,61234127925673;378,43121925454057;2004370,0704214184;3860575,20086494;2401,2928322377693;788,7328117888329;12518,047080108507;128,94070817953326;2046,852332878525;1;0,03;0,4;0,4
10437154,750690024;9907201,777505776;1.0129e+07;1.37716e+07;0.599905;12.0986;13,063867677464467;0,9624543849080104;12,101413292555415;0.362958;13,065162069905275;0,9624541878917606;12,102707882006055;728,0545094296687;116,77870054641208;304,6220623389868;2005603,6144789453;3499774,8302516756;2490,134326261395;925,1755774515165;11632,688474882372;129,020061811228;1622,4066959904649;1;0,03;0,4;0,6000000000000001
